Node;Mitigation;Prices;Average Mitigation;GHG Level
0;0.0;0.0;0.0;420.87
1;0.943525849537528;245.59395048783716;0.0;442.2674413451849
2;0.73860666203305;140.00748834538012;0.0;442.2674413451849
3;0.9951846237889747;165.7450469185377;0.7720285380611029;429.96147183021856
4;0.7930937212600127;96.21894408805325;0.7720285380611029;429.96147183021856
5;0.8922401188991386;126.20885292753273;0.6043558813932599;454.04922982020423
6;0.571795308031547;49.94717374918026;0.6043558813932599;454.04922982020423
7;0.9875009759684754;88.75062675553163;0.8540115892280895;406.33277450810874
8;0.7720536326757308;49.55617532917681;0.8540115892280895;406.33277450810874
9;0.8241960085120325;57.299829814881875;0.7854437170239578;420.9795736429455
10;0.8272683606853192;57.7865311766696;0.7069393894361982;432.73184588021206
11;0.47077924430965606;19.470638582515306;0.7854437170239578;420.9795736429455
12;0.4814629310849812;20.211979235648194;0.7069393894361982;432.73184588021206
13;0.5791451883717541;27.93210661304829;0.5982149356909903;455.9564972161946
14;0.2501244958173532;7.686784081715645;0.5982149356909903;455.9564972161946
15;0.9970023228761346;42.732797866429046;0.8711519289176971;382.9185959041154
16;0.9066097309694019;33.65793169347962;0.8711519289176971;382.9185959041154
17;0.9300971515544079;35.8329891032279;0.8452374234683266;389.2188856651657
18;0.982329306817189;41.1249406744273;0.790163673846504;398.7657606751577
19;0.9966293795698742;42.69123733148163;0.7228355343858279;409.3035539547001
20;0.6199112304555034;14.898165609961476;0.8452374234683266;389.2188856651657
21;0.6834396397726346;18.03500526232382;0.790163673846504;398.7657606751577
22;0.6628706499222877;16.967428596964833;0.7228355343858279;409.3035539547001
23;0.7527898658435429;22.041640567160176;0.7476539669433067;409.10066660975605
24;0.7439114681149839;21.491346885026022;0.6812413262409702;419.4158829170184
25;0.8148467391198805;26.227650643822006;0.5957184523922014;434.11512932861365
26;0.45685059529317196;8.704201769925255;0.7476539669433067;409.10066660975605
27;0.42438571895053623;7.73098271094644;0.6812413262409702;419.4158829170184
28;0.5695430899037083;12.72480393427577;0.5957184523922014;434.11512932861365
29;0.3134819971746887;4.916693106971208;0.5561430751592253;443.7366251731888
30;0.2902273206178115;4.41439488179845;0.5561430751592253;443.7366251731888
31;0.9916650089570295;19.79344290306841;0.880080072217616;363.0359881539166
32;0.9685024243025598;18.62788687649201;0.880080072217616;363.0359881539166
33;0.8862160104750926;14.966571170076127;0.8740646108153568;364.59269357729687
34;0.9426554129593547;17.4003302866681;0.8505368314919899;369.0446566891718
35;0.9964998616358699;20.04488180463176;0.8031137818691995;376.71088624162405
36;0.9650410217664571;18.459117103343086;0.7415524070531121;386.3674045006363
37;0.9197161505395153;16.371881638597813;0.8740646108153568;364.59269357729687
38;0.6417698933778622;7.479732180253189;0.8505368314919899;369.0446566891718
39;0.9244152546558762;16.578046796701656;0.8031137818691995;376.71088624162405
40;0.7167505962901228;9.336390184138475;0.7415524070531121;386.3674045006363
41;0.9045494483812656;15.721861612143396;0.8298944848504897;374.386555823406
42;0.80732184471931;12.064832891817455;0.7832232011169951;381.8582457543733
43;0.9686885035400372;18.636998786246117;0.7193413592032898;392.11526519858404
44;0.955704151656893;18.010692402294303;0.7466795838468985;388.6303821105898
45;0.8431391524467388;13.315441942003147;0.6844622309671107;398.5145017593287
46;0.9254594733145657;16.62417157097445;0.6102221716871996;410.5369555824436
47;0.17445195574070704;1.073645990170796;0.8298944848504897;374.386555823406
48;0.63982402872091;7.435789497854;0.7832232011169951;381.8582457543733
49;0.5133761674757497;4.972775850639232;0.7193413592032898;392.11526519858404
50;0.46127541292451235;4.1533384321552305;0.7466795838468985;388.6303821105898
51;0.6565332623659259;7.819786408501419;0.6844622309671107;398.5145017593287
52;0.4994903980820298;4.744436393607018;0.6102221716871996;410.5369555824436
53;0.6628762930966507;7.969569666181197;0.7269854243177076;393.72693109999534
54;0.6030277904611012;6.641736124822912;0.6631983870700975;404.0172476907368
55;0.764551673538527;10.70360345321902;0.5938977211194256;414.76147786254114
56;0.679806698644805;8.38052198997613;0.5385398018471803;426.58780109094107
57;0.29375184746267535;2.1083277976496198;0.7269854243177076;393.72693109999534
58;0.24697752863391526;1.667625433924144;0.6631983870700975;404.0172476907368
59;0.32403489581218053;2.4207329561532083;0.5938977211194256;414.76147786254114
60;0.2827497475757576;2.000247594668117;0.5385398018471803;426.58780109094107
61;0.6915871584046891;8.676317820752644;0.5369921683424349;426.98828395905855
62;0.35737067027525976;2.7914712208705574;0.5369921683424349;426.98828395905855
"
"
Period;Expected Price;Expected Mitigation;Expected Emission
0;0.0;0.0;40.64753
1;192.80071941660864;0.0;6.685038726675352
2;109.53000442082599;0.6881922097271813;7.513589562331416
3;41.08683394864841;0.736152407844809;3.3980410060073596
4;22.137013164888806;0.7262681726692575;1.958791457193441
5;10.531006461893584;0.7239240148635064;0.9874721080585812
