year,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP1,40.069004,41.361119,42.653234,43.215865,43.778496,43.116627,42.454758,42.028343,41.601928,40.409730,39.217532,36.304913,33.392294,31.005354,28.618414,26.615664,24.612914
SSP2,42.262425,44.494988,46.727551,49.167001,51.606452,54.129040,56.651629,59.026949,61.402269,63.699624,65.996979,70.065304,74.133629,77.581003,81.028377,83.356291,85.684204
SSP3,48.502707,51.751797,55.000887,57.439096,59.877305,61.939334,64.001363,65.981829,67.962295,69.877480,71.792666,73.682062,75.571458,77.854321,80.137183,82.676074,85.214966
SSP4,41.636027,45.352799,49.069570,51.458250,53.846929,54.755683,55.664437,56.309207,56.953977,56.426093,55.898208,53.535566,51.172923,49.352821,47.532719,46.158720,44.784722
SSP5,44.610389,50.668421,56.726452,63.294034,69.861617,77.149042,84.436466,92.869041,101.301616,109.400721,117.499826,123.499587,129.499348,129.948440,130.397532,128.247607,126.097683
