Node;Mitigation;Prices;Average Mitigation;GHG Level
0;0.8598000435399824;211.6221139041991;0.0;420.87
1;0.9530540690581857;233.52575440976514;0.8597996948691389;422.16315540614875
2;0.7374774424925534;129.3983521072473;0.8597996948691389;422.16315540614875
3;0.9963667075272702;166.25715223988422;0.9242915882214825;410.87741655436054
4;0.7828409375915987;93.4995749061917;0.9242915882214825;410.87741655436054
5;0.8682076197804233;118.28244193977517;0.7752054026999007;432.8914566517793
6;0.54961021994417;46.50620886907396;0.7752054026999007;432.8914566517793
7;0.9835633421193578;87.84093782569272;0.9497973195492878;390.4767546207954
8;0.7339976757904887;44.476884046783354;0.9497973195492878;390.4767546207954
9;0.8061409072431418;54.509914937351034;0.8773497293350829;405.95231019162384
10;0.8117759073451882;55.36791482384737;0.8053814024850924;416.99575861846324
11;0.506854037412479;22.050752154594203;0.8773497293350829;405.95231019162384
12;0.5068300130468675;22.04895973540964;0.8053814024850924;416.99575861846324
13;0.5982087374645282;29.657725769617564;0.6972837978189336;440.0865161417052
14;0.21791308589281239;6.424555519588727;0.6972837978189336;440.0865161417052
15;0.9999299239270351;43.060322005416026;0.9542163328208859;368.9813719036291
16;0.9208299391627686;34.96036236078906;0.9542163328208859;368.9813719036291
17;0.9381969540052573;36.61148478030518;0.9241980004025019;376.2793779604406
18;0.9993685339217647;42.9973411627115;0.8680589541334927;385.8678369254941
19;0.9808939565803281;40.97062666142419;0.8066329724810828;395.55458821887385
20;0.6037161770132115;14.170971655251687;0.9241980004025019;376.2793779604406
21;0.594523826904876;13.770418776405231;0.8680589541334927;385.8678369254941
22;0.7010196663372598;18.989456862156317;0.8066329724810828;395.55458821887385
23;0.693134429137866;18.5564498242514;0.8320600487575569;394.6198314950753
24;0.7449042210126449;21.552307608171255;0.7699534357081194;404.4720688478856
25;0.8135336836946865;26.13257927190194;0.6842330494486144;419.25443674505567
26;0.27822842976617806;4.165808581640499;0.8320600487575569;394.6198314950753
27;0.2791692831093025;4.185047201077371;0.7699534357081194;404.4720688478856
28;0.341520822189081;5.560173218671942;0.6842330494486144;419.25443674505567
29;0.49210035896757176;9.848899336463221;0.6384903245052082;430.37535729856864
30;0.11953857157451261;1.462518199199169;0.6384903245052082;430.37535729856864
31;0.999017499740094;20.176953751952322;0.9573979825387278;349.979294774341
32;0.9834486379968431;19.372675499104886;0.9573979825387278;349.979294774341
33;0.8753226444549147;14.533035277440495;0.95213400612305;351.341523395672
34;0.9994224256361758;20.198269013472302;0.9242255489692983;356.66795966271803
35;0.9923169237756324;19.8271788640424;0.8765030570530042;364.2805723073299
36;0.966848378713093;18.547067448813706;0.8182541572702836;373.67617642362046
37;0.6570607956327714;7.832158141922553;0.95213400612305;351.341523395672
38;0.7618627243071708;10.622529504111144;0.9242255489692983;356.66795966271803
39;0.7316856550951433;9.747110752039559;0.8765030570530042;364.2805723073299
40;0.9089913730145349;15.90983083109293;0.8182541572702836;373.67617642362046
41;0.8973031859673865;15.419420975279435;0.9019663965296425;362.4282551094075
42;0.9771963773340768;19.05791668788498;0.8495613265907094;371.25264775769557
43;0.9103849545476888;15.969210547932024;0.7996290432462538;378.49606065774765
44;0.8315599993542878;12.899515116549853;0.8212689456521114;376.3007172829339
45;0.9304025990315367;16.84406722643895;0.7670356203967911;384.61416237121637
46;0.8405912884676826;13.22294358282845;0.692428842623288;396.7293671682449
47;0.3072307722174117;2.244624031012875;0.9019663965296425;362.4282551094075
48;0.5915843525694849;6.408526779150751;0.8495613265907094;371.25264775769557
49;0.42991284727018014;3.706536102696944;0.7996290432462538;378.49606065774765
50;0.5245579943045099;5.162171329142011;0.8212689456521114;376.3007172829339
51;0.6261972927315118;7.133655402607246;0.7670356203967911;384.61416237121637
52;0.6639370448388384;7.994837751508344;0.692428842623288;396.7293671682449
53;0.3849081085724138;3.120516550591215;0.7936577537958271;383.44606415512857
54;0.5828898397504712;6.235503729075059;0.7360417980542295;392.6348649849924
55;0.6775433595482452;8.324627961977853;0.6610173179444789;404.8581859066149
56;0.7135152817424203;9.249310216641492;0.626749082886346;410.83730701283343
57;0.3630863088402234;2.8580192606009147;0.7936577537958271;383.44606415512857
58;0.6597499822712105;7.895465126180562;0.7360417980542295;392.6348649849924
59;0.5521982468484545;5.652365542089615;0.6610173179444789;404.8581859066149
60;0.217402250136495;1.4130665250729828;0.626749082886346;410.83730701283343
61;0.20694234033948175;1.3272080168336433;0.6019558368348044;417.2534184311087
62;0.05314287332568292;0.281612281655467;0.6019558368348044;417.2534184311087
"
"
Period;Expected Price;Expected Mitigation;Expected Emission
0;211.6221139041991;0.0;5.69878193620726
1;181.46205325850622;0.8597996948691389;6.72723575016742
2;106.13634448873125;0.8497484954606915;8.069188263468012
3;40.297205601610585;0.832453062297099;3.4310197720944706
4;21.06217296911475;0.8097303897821828;2.2187429081333185
5;10.287122807116969;0.7987391697818029;1.026966611834053
