Year;Node;Utility;Consumption;Cost;CertainEquivalence
2020;0;24.962220834094445;0.9563550484936656;0.04364495150633439;0.5146036900411746
2030;1;26.875137222994912;1.0994185574946593;0.05107131548367326;0.5071713928462309
2030;2;28.00394672951446;1.1315207557102782;0.024252952723635302;0.5029811286827514
2060;3;34.3681523644455;1.731135397311395;0.03723663327942498;0.48315237687248774
2060;4;35.68862825181947;1.7721720409247528;0.018208892527716028;0.4794888808581063
2060;5;36.371037497984965;1.7593526752330084;0.024535019213674465;0.47762501019073933
2060;6;36.613888503976185;1.7962288270159819;0.00708949872348006;0.4770132548665862
2100;7;46.47711529492102;3.032518476485811;0.01953966944249437;0.4552079917864124
2100;8;47.87340240264531;3.1759798046075205;0.008310497346498037;0.45254105884073087
2100;9;49.022488868576396;3.160079175267516;0.010811947615360919;0.45034880984193765
2100;10;48.99722048163254;3.1513835815672855;0.011029451185344999;0.4503918092448709
2100;11;50.08752954726793;3.251310641334103;0.003161182425783891;0.4484234673647926
2100;12;50.06634897268041;3.2481818801352995;0.003160810241878066;0.44846064205390734
2100;13;50.188691674405945;3.237818180895668;0.004811856618070716;0.44823237705192615
2100;14;50.423698563505134;3.278371017993936;0.0004498187825040613;0.44782502778695155
2150;15;64.37128610083685;6.279906549202394;0.009662310988896347;0.4270122825489595
2150;16;65.9209379244301;6.572745394969751;0.007501329130903823;0.42501055357605527
2150;17;65.38982002600193;6.558149562533877;0.007937914153761608;0.42570842962357125
2150;18;68.869253895632;6.5244065788756735;0.009645339339015326;0.4212290205023396
2150;19;68.637064583196;6.50253880281377;0.009100483200231253;0.4215143378462139
2150;20;68.99720547117299;6.811034768473936;0.002314448616947691;0.4211284467862623
2150;21;68.82211983480785;6.802689736419376;0.002224224641805443;0.4213448037639301
2150;22;68.5719458397998;6.783450950691368;0.0034416393064925967;0.42165363691656177
2150;23;70.27611427972424;6.788769576826148;0.0033376396930492056;0.41955132788593474
2150;24;70.20416274910254;6.772668701179752;0.004065963195248727;0.41963566086161475
2150;25;70.09741267800874;6.7490524214205205;0.005212620565064543;0.419761016985101
2150;26;70.27436956319832;6.892460920046759;0.00036290193653310617;0.4195740359211204
2150;27;70.13725640463926;6.888473411777179;0.0003656620215166443;0.4197402127216115
2150;28;70.63268667216691;6.881235968144791;0.0005783794147867914;0.41913734559628996
2150;29;70.5800127176681;6.8722336433697215;0.001380067139656033;0.4191992737162289
2150;30;70.71599495356563;6.912796399010413;5.853040834872015e-05;0.41904291276332795
2200;31;82.42902211764785;12.961939944098749;0.004525343075848935;0.4069587753408183
2200;32;86.06367143839859;13.530376063813076;0.004309063716290835;0.40345321596817574
2200;33;86.0153081592441;13.541261353274978;0.003029004730158064;0.4035003024018809
2200;34;85.80670098600767;13.485351351319647;0.004531086360686892;0.4036947493076477
2200;35;85.4232636519572;13.424801631686135;0.0044311808124218866;0.4040573547665038
2200;36;84.93943872207531;13.352647988405423;0.004087963895133292;0.4045180697751231
2200;37;90.2181141843925;14.218483812999315;0.0013581131139339413;0.3996609480973235
2200;38;90.13366003118442;14.19417437595143;0.0020333123789130466;0.3997350866244819
2200;39;89.97569790175666;14.170926461430915;0.0018174839554771767;0.3998758154812863
2200;40;89.76457752949108;14.1138402445628;0.003388855034668685;0.40006220490433725
2200;41;90.06159897658071;14.165056837503515;0.0032602269463246386;0.39979771659535174
2200;42;89.88218490620042;14.121919466394704;0.004224657329554437;0.39995633990492546
2200;43;89.68998681634068;14.102099609199024;0.0034044615916093406;0.4001288838332443
2200;44;89.77609730988137;14.127157058978206;0.002607702130764393;0.4000528696184651
2200;45;89.56076138622177;14.07826853197335;0.003635158235066598;0.4002442687921102
2200;46;89.25717756349346;14.04397343530905;0.0026905754234560894;0.4005179409764389
2200;47;91.84952650167324;14.484012462803367;0.00021322186701800634;0.39822826546810824
2200;48;91.79753810659525;14.462857120953569;0.0010314002948231123;0.39827242333821794
2200;49;91.72978899626395;14.459626763620737;0.0004666638282479089;0.39833197968246414
2200;50;91.76108470052519;14.460470830596478;0.000759731388741872;0.398304409538991
2200;51;91.68442941610175;14.441595232095183;0.001195943599917968;0.3983705998350318
2200;52;91.57423938518882;14.421055470455205;0.0013963434333588295;0.39846639649744825
2200;53;91.7220305998805;14.460145566658946;0.0003588931053935209;0.39833887508972704
2200;54;91.63901852027212;14.437402813536583;0.0009927831321537661;0.3984104083620183
2200;55;91.52140897118707;14.411663943095977;0.0014743389002498965;0.39851241199678566
2200;56;91.46004985875362;14.398822388038917;0.001696250031611039;0.3985657388786215
2200;57;92.22007681200455;14.535775654315811;0.0003130798095499738;0.39790642005078747
2200;58;92.19045460541982;14.515926350755677;0.0013729708315929493;0.3979308282530128
2200;59;92.15587310845831;14.516952815079236;0.0008646870046258258;0.3979612809538579
2200;60;92.13695342320827;14.524755907832807;9.872611080458e-05;0.39797852992244115
2200;61;92.12133820441544;14.522504390322684;8.865827997239698e-05;0.3979920703314808
2200;62;92.44953306255793;14.573053608217247;5.147426697798115e-06;0.397708320304284
